Icgc_id	StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity	QPURE
ICGC_0415	54.44974504	-7.547080728	46.90266431	0.818574192	48.5
ICGC_0417	-47.13060637	-682.5446634	-729.6752698	0.878597288	53.55
ICGC_0419	48.57312991	-153.7035809	-105.130451	0.831188027	49.82
ICGC_0420	-34.25004785	-172.0779508	-206.3279987	0.839355064	65.55
ICGC_0535	531.4948036	36.62261322	568.1174168	0.772276035	54.02
ICGC_0536	701.2269161	759.5214617	1460.748378	0.682653839	42.64
ICGC_0502	-433.4586039	-702.1298333	-1135.588437	0.905476154	60.93
ICGC_0503	-60.43138327	-347.0232582	-407.4546415	0.855035213	45.94
ICGC_0518	49.60088834	-255.6608812	-206.0599929	0.839333679	48.08
ICGC_0507	323.2402638	-707.6506442	-384.4103804	0.853276194	53.18
ICGC_0521	-206.5628323	-935.3233529	-1141.886185	0.905868095	77.5
ICGC_0522	468.9863608	-22.23378464	446.7525762	0.783470499	58.36
ICGC_0526	-664.9172916	-169.4006615	-834.3179531	0.885828886	61.96
ICGC_0543	433.9644449	-51.07932999	382.8851149	0.789261882	63.7
